,mean,median,std,skew,range,5p,10p,25p,75p,90p,95p,min,min3d,min7d,min14d,min30d,min90d,low_count,low_dur,max,max3d,max7d,max14d,max30d,max90d,high_count,high_dur,rising,falling,change,change_3d,n_revs,n_rlimb,n_flimb,rlimb_slp,flimb_slp,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,jan_p,feb_p,mar_p,apr_p,may_p,jun_p,jul_p,aug_p,sep_p,oct_p,nov_p,dec_p,cen_jd,25p_jd,50p_jd,75p_jd,max_jd,min_jd,max3d_jd,min3d_jd,max7d_jd,min7d_jd,max14d_jd,min14d_jd,si
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,254.6767123287671,183.0,235.6383568333242,0.7185580429661026,183.0,52.0,67.4,111.0,294.0,496.80000000000007,797.0000000000009,47.0,47.0,47.857142857142854,49.642857142857146,51.8,91.8,5.0,139.0,1420.0,1300.0,1145.142857142857,823.0,671.5666666666667,473.05555555555554,10.0,65.0,71.84313725490196,27.510204081632654,40.54178674351585,91.72820512820513,75.0,22.0,20.0,100.39908008658008,51.12151199312383,176.0,89.28571428571429,54.193548387096776,142.7,292.03225806451616,266.56666666666666,115.41935483870968,121.54838709677419,375.5,363.4516129032258,390.4,658.0645161290323,5.869380466237077,2.6894155362156695,1.80728724033693,4.6053551642157124,9.738911539744183,8.602902417246684,3.849091515431866,4.0534870961842575,12.118506406187807,12.12065793861678,12.59937390406317,21.945630775519863,235.73134890325633,151.0,268.0,325.0,359.0,63.0,357.0,63.0,357.0,61.0,351.0,57.0,0.6228946334149812
1990,325.08493150684933,254.0,241.88566509493685,0.7813342772384034,202.0,99.19999999999999,135.8,188.0,390.0,600.6,779.6000000000001,64.0,65.0,66.71428571428571,70.71428571428571,113.5,223.62222222222223,7.0,57.0,1980.0,1826.6666666666667,1392.7142857142858,1073.2857142857142,833.1333333333333,579.8111111111111,13.0,100.0,78.46846846846847,37.32793522267207,50.08379888268156,130.6060606060606,84.0,24.0,27.0,90.53775252525251,46.28207428303213,325.9032258064516,129.28571428571428,366.80645161290323,311.53333333333336,227.41935483870967,236.8,226.03225806451613,414.96774193548384,781.3333333333334,522.9032258064516,205.1,141.5483870967742,8.514529395900755,3.0508360302049624,9.583164778856526,7.8765507011866225,5.9415453074433655,5.9870550161812295,5.905306094929881,10.841423948220065,19.754584681769146,13.66134034519957,5.185578478964401,3.698085221143473,192.02245145631068,101.0,221.0,269.0,265.0,48.0,265.0,46.0,263.0,43.0,256.0,37.0,0.49551321836532586
1991,385.0931506849315,314.0,275.7915672808431,0.8153871328054411,240.0,113.19999999999999,138.4,226.0,466.0,689.2,922.6000000000001,67.0,67.66666666666667,69.85714285714286,75.5,132.76666666666668,209.22222222222223,5.0,45.0,2080.0,1630.0,1260.0,1161.0,887.7,684.9666666666667,20.0,138.0,97.8360655737705,48.270042194092824,65.1142061281337,151.27878787878788,105.0,30.0,28.0,104.11974747474748,60.632417285095855,213.90322580645162,248.35714285714286,169.19354838709677,247.76666666666668,418.38709677419354,344.8666666666667,291.83870967741933,531.6451612903226,838.2333333333333,645.8387096774194,284.23333333333335,379.258064516129,4.717591900909938,4.9473886410688745,3.731529108772828,5.288170803719434,9.22744185715607,7.360610135245698,6.4364430594981465,11.725325308233552,17.89070781664639,14.243840664774224,6.066491651192737,8.364459052782106,210.54047054973356,143.0,232.0,281.0,259.0,9.0,259.0,8.0,248.0,6.0,248.0,1.0,0.4859958091015645
1992,399.23561643835615,343.0,193.13108428673686,0.8591417846432566,273.0,184.0,203.0,246.0,519.0,648.6,788.6000000000001,140.0,142.66666666666666,156.14285714285714,170.78571428571428,232.53333333333333,270.6,2.0,6.0,1160.0,1029.6666666666667,803.1428571428571,747.8571428571429,678.4666666666667,542.8333333333334,17.0,167.0,84.19834710743801,44.14522821576764,57.533149171270715,140.710843373494,114.0,35.0,31.0,84.04238095238095,51.97587752749043,491.7741935483871,266.17857142857144,516.0645161290323,240.3,318.4516129032258,322.1666666666667,251.32258064516128,434.83870967741933,402.73333333333335,562.0967741935484,598.2,372.741935483871,10.461772839878947,5.114568250286506,10.97851373515142,4.9471249854173385,6.774589798313214,6.6325375203299455,5.346518346703633,9.250554141132712,8.291186582579039,11.957782337480529,12.31531488254953,7.929536580177188,190.94370749583106,84.0,210.0,292.0,337.0,51.0,336.0,50.0,332.0,47.0,327.0,40.0,0.39123609547349575
1993,263.8027397260274,203.0,195.55673806011666,0.7695143735460285,194.0,69.19999999999999,84.0,140.0,334.0,500.6,676.8,52.0,52.333333333333336,53.285714285714285,57.42857142857143,64.56666666666666,102.07777777777778,9.0,127.0,1330.0,1193.3333333333333,1031.2857142857142,815.3571428571429,610.7666666666667,461.65555555555557,14.0,75.0,59.990990990990994,27.459227467811157,37.95639534883721,95.70520231213872,86.0,23.0,24.0,75.96847826086956,42.70681216931217,165.51612903225808,319.85714285714283,222.3548387096774,198.8,203.48387096774192,126.93333333333334,77.74193548387096,108.45161290322581,406.53333333333336,574.0322580645161,346.8333333333333,421.2903225806452,5.328805250913924,9.301262878032569,7.158732136922566,6.193918245264207,6.551179793951478,3.954802259887006,2.502907942838152,3.4916085078099033,12.666168162180128,18.48101528747092,10.806123296776338,13.563476237952809,212.34826769690926,106.0,257.0,302.0,274.0,221.0,273.0,220.0,270.0,219.0,270.0,212.0,0.5337990594426733
1994,319.43013698630136,257.0,221.7820074257365,0.8045577741182929,208.0,86.0,106.4,180.0,388.0,631.2,750.6000000000001,69.0,70.33333333333333,76.42857142857143,85.85714285714286,97.03333333333333,172.24444444444444,4.0,72.0,1390.0,1253.3333333333333,1182.142857142857,926.2142857142857,800.7666666666667,525.9666666666667,14.0,101.0,81.16504854368932,32.94163424124513,46.73888888888889,100.97979797979798,89.0,25.0,29.0,87.77157142857142,45.10368471533751,251.19354838709677,137.46428571428572,393.7741935483871,285.0,381.6774193548387,235.73333333333332,243.70967741935485,105.09677419354838,430.8666666666667,728.9032258064516,342.1666666666667,280.48387096774195,6.67884588994099,3.3012556607657473,10.469843557019349,7.333264717990942,10.148209139563606,6.065596267325374,6.479861397008372,2.794359818855496,11.086523946754493,19.38040345821326,8.804206120488542,7.45763002607383,199.06185673116508,106.0,208.0,287.0,276.0,253.0,276.0,251.0,276.0,225.0,276.0,218.0,0.5048659087021177
1995,283.6054794520548,225.0,236.55920043921645,0.7933556165230495,178.0,100.0,120.4,150.0,328.0,460.0,654.8000000000003,87.0,89.0,90.14285714285714,92.85714285714286,135.6,207.0888888888889,9.0,99.0,1970.0,1626.6666666666667,1255.7142857142858,1021.2142857142857,756.2,445.94444444444446,16.0,66.0,84.62264150943396,36.74273858921162,51.36887608069164,126.29473684210527,77.0,26.0,26.0,90.54761904761905,45.14825164152087,210.2258064516129,361.67857142857144,149.7741935483871,283.1333333333333,224.03225806451613,279.06666666666666,145.83870967741936,268.51612903225805,723.7,339.3225806451613,232.96666666666667,204.96774193548387,6.2956451176629695,9.783028710537502,4.485296958924224,8.205494802735808,6.709107770779396,8.087638625912902,4.367440782101318,8.041268982572742,20.97356930329611,10.161714131148807,6.751613277174543,6.1381815371536765,192.57155415587928,106.0,216.0,268.0,264.0,350.0,253.0,349.0,250.0,345.0,253.0,338.0,0.4926723788844497
1996,222.72328767123287,170.0,159.2253770306765,0.7632789627770807,126.0,89.0,102.0,130.0,256.0,396.4000000000001,575.8000000000002,67.0,67.66666666666667,69.42857142857143,73.71428571428571,105.83333333333333,136.86666666666667,15.0,158.0,1200.0,1013.3333333333334,774.2857142857143,564.4285714285714,435.0,334.68888888888887,11.0,43.0,61.35294117647059,25.468503937007874,35.75,89.67307692307692,77.0,24.0,24.0,61.778124999999996,30.394269551254848,130.61290322580646,336.0,258.8709677419355,200.3,160.41935483870967,152.0,128.93548387096774,219.03225806451613,418.3333333333333,291.06451612903226,186.36666666666667,203.83870967741936,4.9806873816025785,11.572809801461363,9.87157723817256,7.391689423573696,6.117302629960391,5.609270056830763,4.916722021305386,8.352399931114228,15.437793687110979,11.099220114645608,6.877506335030875,7.773021379191576,187.85465101975547,82.0,208.0,274.0,267.0,33.0,267.0,31.0,266.0,27.0,266.0,20.0,0.4830147029334755
1997,313.54246575342466,222.0,262.0696999821128,0.7080380626163243,202.0,121.39999999999999,133.0,170.0,372.0,573.2000000000007,809.2,60.0,63.333333333333336,65.71428571428571,123.5,145.43333333333334,195.96666666666667,9.0,67.0,2200.0,1666.6666666666667,1085.5714285714287,675.4285714285714,582.4333333333333,434.1666666666667,15.0,92.0,113.62857142857143,44.735408560311285,64.7182320441989,164.13846153846154,93.0,28.0,26.0,112.37653061224489,52.71062759704064,370.9032258064516,470.7857142857143,161.48387096774192,188.43333333333334,254.29032258064515,199.73333333333332,173.48387096774192,326.0,339.46666666666664,282.96774193548384,426.8666666666667,580.0967741935484,10.046922922328145,11.51839780502084,4.374229966009279,4.939576907281354,6.888145190182011,5.235794238179705,4.699282612304816,8.830596891028723,8.898753091058431,7.66495111103344,11.189849968980191,15.713499296593064,198.30949905192978,81.0,224.0,309.0,53.0,4.0,53.0,2.0,52.0,1.0,9.0,76.0,0.5452203938576102
1998,274.36164383561646,222.0,177.78586675890642,0.8091510055720875,137.0,130.2,144.0,169.0,306.0,462.20000000000005,613.8000000000001,106.0,110.33333333333333,120.57142857142857,143.07142857142858,155.3,194.0888888888889,13.0,59.0,1620.0,1373.3333333333333,1092.2857142857142,808.7142857142857,479.0,402.5888888888889,10.0,63.0,55.38793103448276,27.153225806451612,36.1510989010989,96.88947368421053,100.0,23.0,22.0,61.75981711525189,31.866673210924546,187.7741935483871,224.75,180.41935483870967,370.46666666666664,357.3225806451613,217.36666666666667,217.41935483870967,301.8709677419355,420.46666666666664,463.35483870967744,173.3,175.74193548387098,5.812745900820834,6.284076611212079,5.585069201733538,11.098240498492142,11.061292963991134,6.511753310299374,6.730442771264804,9.344730482714546,12.596113518803298,14.343632042499651,5.191627888398474,5.440274809770126,189.25619620139403,108.0,200.0,272.0,297.0,364.0,296.0,362.0,292.0,358.0,291.0,62.0,0.41644962782985245
1999,365.14520547945204,236.0,426.250686109148,0.6463182220621558,222.0,75.4,90.0,156.0,378.0,691.2,1154.0000000000005,51.0,52.0,56.285714285714285,58.57142857142857,70.3,127.05555555555556,6.0,89.0,2850.0,2583.3333333333335,2191.4285714285716,1350.7142857142858,1008.1666666666666,692.0888888888888,11.0,96.0,112.71929824561404,50.235537190082646,70.24438202247191,152.35593220338984,94.0,22.0,24.0,161.61623376623376,60.91149163336663,213.3548387096774,81.17857142857143,99.16129032258064,298.7,368.38709677419354,262.1,185.19354838709677,171.70967741935485,632.6333333333333,878.0967741935484,429.9,739.0967741935484,4.962559462176803,1.7054577649724636,2.3064571797295876,6.723540269211722,8.56855595071955,5.899698374825553,4.307537628115668,3.993907471600714,14.240159666261498,20.424226053812333,9.676765857831,17.19113432074311,237.20635813862754,153.0,267.0,305.0,360.0,66.0,359.0,64.0,356.0,61.0,351.0,54.0,0.689972242590264
2000,342.5671232876712,235.0,273.7257381779062,0.6859969449043083,229.0,128.4,150.8,175.0,404.0,648.6,845.0,100.0,100.66666666666667,106.42857142857143,126.57142857142857,150.36666666666667,205.0222222222222,8.0,43.0,2150.0,1723.3333333333333,1372.857142857143,1147.4285714285713,972.9,681.8222222222222,12.0,105.0,91.08490566037736,38.23622047244095,53.797222222222224,120.03191489361703,92.0,23.0,31.0,114.881884057971,48.36752339480043,257.38709677419354,168.82142857142858,244.58064516129033,277.76666666666665,200.61290322580646,202.36666666666667,233.06451612903226,188.83870967741936,574.9,816.1612903225806,596.2,342.35483870967744,6.381311131904956,3.7804809776306216,6.06380511368635,6.664427329510465,4.973727776578133,4.855362812607468,5.778289626270624,4.681814183001832,13.793517118932797,20.234810496093157,14.30456584850884,8.487887585274759,220.3498324495949,132.0,263.0,298.0,270.0,72.0,269.0,71.0,283.0,67.0,278.0,35.0,0.550078448012265
2001,306.4739726027397,248.0,184.89685390197587,0.8092041157487284,210.0,94.2,130.0,175.0,385.0,579.4000000000001,673.0,73.0,74.0,76.71428571428571,87.64285714285714,118.06666666666666,165.55555555555554,5.0,50.0,1170.0,901.6666666666666,765.4285714285714,710.7857142857143,631.0333333333333,457.03333333333336,13.0,103.0,74.22330097087378,31.40562248995984,43.93465909090909,101.08780487804879,73.0,26.0,23.0,77.66965811965812,44.262834519842194,619.9677419354839,350.42857142857144,390.38709677419354,206.4,262.4516129032258,171.8,209.38709677419354,121.2258064516129,417.1666666666667,396.2903225806452,333.6666666666667,199.6451612903226,17.180837274165718,8.77144364088215,10.81859059742721,5.535342338396074,7.2731823748692594,4.607421578180452,5.802633578573791,3.3594664902604077,11.187792210114157,10.982183563823606,8.948445866819235,5.532660486487936,164.6649026040782,57.0,153.0,274.0,57.0,350.0,57.0,348.0,13.0,345.0,6.0,340.0,0.4696489431360453
2002,316.24246575342465,245.0,300.4888891879813,0.7747220140606522,208.0,67.6,91.83999999999999,154.0,362.0,591.0000000000005,859.2000000000002,48.0,48.1,48.42857142857142,50.22857142857144,61.133333333333326,118.25111111111113,6.0,92.0,2710.0,2080.0,1492.142857142857,947.2142857142857,669.1,527.4666666666667,11.0,90.0,82.48119658119657,41.022268907563024,54.686197183098585,162.27333333333334,89.0,19.0,24.0,105.47418546365915,56.38474326599326,409.38709677419354,180.89285714285714,111.00322580645162,73.61666666666666,208.70967741935485,237.9,183.86774193548385,612.2903225806451,356.96666666666664,570.2903225806451,513.3666666666667,320.83870967741933,10.994685021463503,4.387997764850102,2.981152834871804,1.9133056394218066,5.605201488367258,6.183048380599245,4.938035233932694,16.443945819273402,9.277604750993039,15.315974824241845,13.342458751521505,8.616589490463793,213.6559445890746,146.0,235.0,295.0,330.0,105.0,329.0,104.0,329.0,100.0,329.0,94.0,0.572732797110185
2003,228.34547945205478,190.0,172.02278779470038,0.8320725264889419,119.0,79.10000000000001,91.75999999999999,140.0,259.0,366.6,506.0,67.3,68.7,70.55714285714285,73.66428571428571,78.85666666666665,139.9044444444444,15.0,127.0,1380.0,1253.3333333333333,920.8571428571429,595.5714285714286,457.2,300.2111111111111,11.0,36.0,71.0234693877551,26.52605363984674,38.67298050139275,99.27720207253886,87.0,30.0,24.0,62.69099206349207,29.462217218375304,323.0,226.35714285714286,173.8709677419355,95.74333333333331,174.48709677419356,175.16666666666666,130.3483870967742,348.31935483870967,260.8,248.74193548387098,216.76666666666668,361.03225806451616,12.01375949204582,7.604435000557916,6.46700925418226,3.4462320372518924,6.489925743376116,6.305034068780664,4.8482172531168235,12.955495218132581,9.387361856163636,9.25178262690156,7.802404671604311,13.42834277788643,194.29925215456993,84.0,226.0,292.0,355.0,128.0,227.0,126.0,226.0,122.0,226.0,115.0,0.4493498467267695
2004,330.4057534246576,231.0,332.3584565055231,0.699140367883076,231.0,86.88,104.8,156.0,387.0,622.2000000000004,790.2,69.4,70.76666666666667,73.98571428571428,80.00714285714285,97.61666666666666,135.82333333333332,9.0,89.0,2910.0,2430.0,1521.4285714285713,1079.5714285714287,757.5333333333333,579.2,12.0,99.0,107.4126126126126,48.10983606557377,66.65239436619719,153.60310880829016,85.0,25.0,24.0,137.0918761904762,55.273224095592525,201.93548387096774,556.2142857142857,207.90322580645162,339.23333333333335,223.93548387096774,169.76666666666668,140.08387096774194,110.71290322580646,322.78,618.258064516129,355.5,736.0645161290323,5.190794879852999,12.913967964669427,5.344196964960476,8.438773081831306,5.756309593600562,4.2231179429858345,3.6008859177715076,2.8458988989047094,8.029479734755355,15.892456017134599,8.843422906331028,18.920696097202196,207.9753080687009,93.0,251.0,311.0,356.0,236.0,356.0,234.0,355.0,231.0,268.0,225.0,0.6054680772419081
